Genes	Modules
2299	ENSG00000168003	greenyellow
2300	ENSG00000168028	black
2301	ENSG00000168036	black
2302	ENSG00000168056	darkorange
2303	ENSG00000168066	brown
2304	ENSG00000168077	brown
2305	ENSG00000168079	blue
2306	ENSG00000168090	cyan
2307	ENSG00000168092	steelblue
2308	ENSG00000168137	darkmagenta
2309	ENSG00000168172	darkmagenta
2310	ENSG00000168209	greenyellow
2311	ENSG00000168214	grey
2312	ENSG00000168268	brown
2313	ENSG00000168288	black
2314	ENSG00000168291	darkturquoise
2315	ENSG00000168297	black
2316	ENSG00000168374	darkturquoise
2317	ENSG00000168385	black
2318	ENSG00000168393	blue
2319	ENSG00000168398	pink
2320	ENSG00000168461	white
2321	ENSG00000168487	darkorange
2322	ENSG00000168566	darkmagenta
2323	ENSG00000168610	white
2324	ENSG00000168615	steelblue
2325	ENSG00000168653	blue
2326	ENSG00000168685	darkturquoise
2327	ENSG00000168701	grey
2328	ENSG00000168710	steelblue
2329	ENSG00000168734	blue
2330	ENSG00000168807	steelblue
2331	ENSG00000168874	darkmagenta
2332	ENSG00000168887	darkmagenta
2333	ENSG00000168894	darkmagenta
2334	ENSG00000168899	cyan
2335	ENSG00000168906	black
2336	ENSG00000168938	black
2337	ENSG00000168958	darkturquoise
2338	ENSG00000168994	grey60
2339	ENSG00000169020	darkmagenta
2340	ENSG00000169021	blue
2341	ENSG00000169062	darkmagenta
2342	ENSG00000169136	grey60
2343	ENSG00000169139	darkturquoise
2344	ENSG00000169180	brown
2345	ENSG00000169189	cyan
2346	ENSG00000169213	darkmagenta
2347	ENSG00000169223	cyan
2348	ENSG00000169249	darkmagenta
2349	ENSG00000169251	black
2350	ENSG00000169398	darkturquoise
2351	ENSG00000169429	white
2352	ENSG00000169439	black
2353	ENSG00000169490	blue
2354	ENSG00000169504	black
2355	ENSG00000169554	white
2356	ENSG00000169567	blue
2357	ENSG00000169604	black
2358	ENSG00000169710	green
2359	ENSG00000169714	black
2360	ENSG00000169756	black
2361	ENSG00000169764	darkturquoise
2362	ENSG00000169813	black
2363	ENSG00000169826	black
2364	ENSG00000169871	darkmagenta
2365	ENSG00000169908	pink
2366	ENSG00000169925	darkmagenta
2367	ENSG00000169976	blue
2368	ENSG00000170004	darkmagenta
2369	ENSG00000170017	darkturquoise
2370	ENSG00000170027	black
2371	ENSG00000170043	cyan
2372	ENSG00000170144	black
2373	ENSG00000170248	black
2374	ENSG00000170266	brown
2375	ENSG00000170275	grey
2376	ENSG00000170312	darkturquoise
2377	ENSG00000170323	green
2378	ENSG00000170345	lightyellow
2379	ENSG00000170348	darkturquoise
2380	ENSG00000170385	steelblue
2381	ENSG00000170430	darkmagenta
2382	ENSG00000170458	grey60
2383	ENSG00000170515	darkturquoise
2384	ENSG00000170540	black
2385	ENSG00000170577	green
2386	ENSG00000170581	midnightblue
2387	ENSG00000170606	black
2388	ENSG00000170624	black
2389	ENSG00000170734	darkmagenta
2390	ENSG00000170759	darkmagenta
2391	ENSG00000170776	darkmagenta
2392	ENSG00000170801	grey
2393	ENSG00000170860	darkturquoise
2394	ENSG00000170876	green
2395	ENSG00000170891	greenyellow
2396	ENSG00000170955	cyan
2397	ENSG00000170961	blue
2398	ENSG00000171150	black
2399	ENSG00000171206	darkmagenta
2400	ENSG00000171208	steelblue
2401	ENSG00000171223	lightyellow
2402	ENSG00000171314	black
2403	ENSG00000171467	darkmagenta
2404	ENSG00000171475	darkmagenta
2405	ENSG00000171490	darkmagenta
2406	ENSG00000171530	darkturquoise
2407	ENSG00000171552	darkorange
2408	ENSG00000171566	black
2409	ENSG00000171603	green
2410	ENSG00000171604	greenyellow
2411	ENSG00000171634	darkmagenta
2412	ENSG00000171812	lightyellow
2413	ENSG00000171848	darkturquoise
2414	ENSG00000171858	blue
2415	ENSG00000171863	black
2416	ENSG00000171865	darkmagenta
2417	ENSG00000171867	steelblue
2418	ENSG00000171928	black
2419	ENSG00000171951	black
2420	ENSG00000171992	darkmagenta
2421	ENSG00000172037	darkorange
2422	ENSG00000172053	grey
2423	ENSG00000172086	darkmagenta
2424	ENSG00000172115	darkturquoise
2425	ENSG00000172172	blue
2426	ENSG00000172183	midnightblue
2427	ENSG00000172216	lightyellow
2428	ENSG00000172239	black
2429	ENSG00000172260	darkmagenta
2430	ENSG00000172270	darkorange
2431	ENSG00000172301	blue
2432	ENSG00000172331	darkturquoise
2433	ENSG00000172348	darkorange
2434	ENSG00000172354	lightgreen
2435	ENSG00000172380	black
2436	ENSG00000172428	blue
2437	ENSG00000172531	brown
2438	ENSG00000172590	darkmagenta
2439	ENSG00000172638	darkorange
2440	ENSG00000172667	white
2441	ENSG00000172757	blue
2442	ENSG00000172809	blue
2443	ENSG00000172819	grey
2444	ENSG00000172831	darkmagenta
2445	ENSG00000172965	blue
2446	ENSG00000173113	blue
2447	ENSG00000173193	midnightblue
2448	ENSG00000173221	lightgreen
2449	ENSG00000173230	brown
2450	ENSG00000173402	green
2451	ENSG00000173418	darkturquoise
2452	ENSG00000173436	darkmagenta
2453	ENSG00000173442	darkorange
2454	ENSG00000173457	darkturquoise
2455	ENSG00000173473	darkmagenta
2456	ENSG00000173482	brown
2457	ENSG00000173511	darkmagenta
2458	ENSG00000173517	black
2459	ENSG00000173530	steelblue
2460	ENSG00000173546	green
2461	ENSG00000173548	green
2462	ENSG00000173575	darkmagenta
2463	ENSG00000173599	lightgreen
2464	ENSG00000173641	darkmagenta
2465	ENSG00000173660	blue
2466	ENSG00000173674	black
2467	ENSG00000173692	darkmagenta
2468	ENSG00000173705	green
2469	ENSG00000173706	darkmagenta
2470	ENSG00000173726	black
2471	ENSG00000173786	midnightblue
2472	ENSG00000173812	blue
2473	ENSG00000173821	white
2474	ENSG00000173905	black
2475	ENSG00000173915	darkturquoise
2476	ENSG00000173918	lightgreen
2477	ENSG00000174080	darkorange
2478	ENSG00000174099	darkmagenta
2479	ENSG00000174136	greenyellow
2480	ENSG00000174306	green
2481	ENSG00000174307	darkorange
2482	ENSG00000174348	darkorange
2483	ENSG00000174437	brown
2484	ENSG00000174444	black
2485	ENSG00000174574	darkmagenta
2486	ENSG00000174600	grey60
2487	ENSG00000174695	darkturquoise
2488	ENSG00000174705	brown
2489	ENSG00000174720	white
2490	ENSG00000174748	darkturquoise
2491	ENSG00000174780	darkmagenta
2492	ENSG00000174791	cyan
2493	ENSG00000174807	darkorange
2494	ENSG00000174891	darkmagenta
2495	ENSG00000174917	cyan
2496	ENSG00000175061	darkturquoise
2497	ENSG00000175115	green
2498	ENSG00000175166	darkmagenta
2499	ENSG00000175203	blue
2500	ENSG00000175215	brown
2501	ENSG00000175220	grey
2502	ENSG00000175224	white
2503	ENSG00000175274	green
2504	ENSG00000175334	blue
2505	ENSG00000175390	blue
2506	ENSG00000175416	darkmagenta
2507	ENSG00000175426	black
2508	ENSG00000175467	grey
2509	ENSG00000175550	blue
2510	ENSG00000175573	cyan
2511	ENSG00000175582	black
2512	ENSG00000175602	darkmagenta
2513	ENSG00000175756	darkmagenta
2514	ENSG00000175854	darkmagenta
2515	ENSG00000175899	brown
2516	ENSG00000176014	blue
2517	ENSG00000176046	grey60
2518	ENSG00000176171	darkturquoise
2519	ENSG00000176340	blue
2520	ENSG00000176438	green
2521	ENSG00000176658	brown
2522	ENSG00000176788	black
2523	ENSG00000176871	darkturquoise
2524	ENSG00000176978	darkorange
2525	ENSG00000177105	cyan
2526	ENSG00000177119	black
2527	ENSG00000177156	blue
2528	ENSG00000177225	grey60
2529	ENSG00000177239	white
2530	ENSG00000177363	darkorange
2531	ENSG00000177409	midnightblue
2532	ENSG00000177410	blue
2533	ENSG00000177469	darkmagenta
